Temp_min,Temp_max,DisO2_min,DisO2_max,pH_min,pH_max,Conductivity_min,Conductivity_max,N_min,N_max,Fecal_Col_min,Fecal_Col_max,Total_Coli_min,Total_Coli_max,BOD_avg,Type_RIVER,Type_LAKE ,Type_TANK ,Type_WETLAND ,Type_POND 
17.0,33.0,5.4,9.2,7.4,8.3,230.0,495.0,0.3,0.77,11000.0,160000.0,28000.0,160000.0,2.15,1,0,0,0,0
14.0,29.0,5.2,9.0,7.4,8.2,191.0,520.0,0.3,1.65,2300.0,160000.0,3300.0,160000.0,2.2,1,0,0,0,0
10.0,28.0,6.5,10.4,7.2,8.4,191.0,495.0,0.3,0.57,780.0,160000.0,1100.0,160000.0,2.4,1,0,0,0,0
14.0,30.0,6.2,10.4,7.1,8.1,190.0,516.0,0.3,1.2,1300.0,35000.0,1700.0,92000.0,1.65,1,0,0,0,0
17.0,29.0,2.5,8.9,7.1,7.9,164.0,632.0,0.3,0.49,2700.0,350000.0,2700.0,540000.0,2.7,1,0,0,0,0
17.0,29.0,4.9,8.3,7.1,8.1,94.0,670.0,0.3,0.6,450.0,920000.0,680.0,1600000.0,2.65,1,0,0,0,0
16.0,27.0,5.1,10.0,7.3,7.8,92.0,430.0,0.3,2.1,680.0,92000.0,1700.0,160000.0,2.0,1,0,0,0,0
19.0,29.0,5.7,9.0,7.4,8.1,166.0,574.0,0.3,0.87,7900.0,160000.0,7900.0,160000.0,2.2,1,0,0,0,0
16.0,28.0,1.8,7.4,7.2,8.1,150.0,727.0,0.3,1.06,17000.0,160000.0,22000.0,160000.0,6.6,1,0,0,0,0
19.0,32.0,1.8,5.6,7.1,7.5,166.0,638.0,0.3,0.8,1700.0,160000.0,3300.0,160000.0,2.95,1,0,0,0,0
16.0,29.0,5.2,9.8,6.5,7.9,110.0,309.0,0.3,0.3,35000.0,160000.0,35000.0,160000.0,2.3,1,0,0,0,0
19.0,30.0,5.8,6.9,7.2,8.3,278.0,502.0,0.39,1.07,6.0,48.0,120.0,540.0,2.8,1,0,0,0,0
18.0,26.0,7.0,7.9,7.2,7.9,120.0,220.0,0.4,2.2,2.0,4.0,17.0,38.0,1.45,1,0,0,0,0
23.6,28.8,6.5,6.9,6.8,7.9,178.0,219.0,0.32,0.32,2.0,2.0,2.0,2.0,1.0,1,0,0,0,0
23.2,29.5,3.8,7.9,7.6,8.0,191.0,512.0,0.32,0.32,2.0,2.0,27.0,70.0,1.35,1,0,0,0,0
23.2,29.5,6.7,8.1,7.6,8.1,210.0,531.0,0.32,0.32,2.0,2.0,31.0,70.0,1.4,1,0,0,0,0
22.8,29.0,6.9,8.0,7.5,8.0,202.0,486.0,0.32,0.32,2.0,2.0,27.0,58.0,1.4,1,0,0,0,0
23.0,29.6,6.7,8.2,7.7,8.3,221.0,529.0,0.32,0.52,2.0,2.0,41.0,84.0,1.65,1,0,0,0,0
23.4,29.6,6.5,8.1,7.5,8.1,211.0,514.0,0.32,0.32,2.0,2.0,31.0,70.0,1.45,1,0,0,0,0
24.2,25.2,6.8,8.9,7.2,8.2,177.0,281.0,0.3,0.56,4500.0,4500.0,6800.0,23000.0,4.0,1,0,0,0,0
19.0,32.0,6.7,8.0,7.2,7.8,247.0,2960.0,0.51,0.96,2.0,2.0,34.0,49.0,1.6,1,0,0,0,0
19.0,31.5,7.0,8.3,7.6,7.9,255.0,349.0,0.3,0.66,2.0,3.0,33.0,48.0,1.5,1,0,0,0,0
21.0,25.2,7.2,9.1,7.0,7.5,171.0,289.0,0.3,0.32,300.0,2000.0,1900.0,7800.0,2.75,1,0,0,0,0
15.0,38.0,6.9,7.4,7.2,7.6,175.0,1107.0,0.38,0.72,1899.368138671069,2903798.391160677,13358.120033112582,17504450.224937864,1.65,1,0,0,0,0
18.0,26.0,6.0,7.8,7.5,8.1,200.0,834.0,0.46,3.48,4.0,9.0,94.0,280.0,2.45,1,0,0,0,0
4.0,33.3,6.4,7.4,7.6,8.1,310.0,610.0,0.3,0.75,2.0,2.0,40.0,49.0,1.65,1,0,0,0,0
19.0,32.8,6.2,7.1,7.6,8.2,316.0,619.0,0.3,0.98,2.0,3.0,46.0,63.0,1.85,1,0,0,0,0
22.0,26.0,6.8,7.0,2.0,7.9,225.0,688.0,0.3,1.55,2.0,4.0,40.0,63.0,2.4,1,0,0,0,0
17.0,26.0,5.5,7.8,7.1,7.8,228.0,620.0,0.32,0.9,2.0,4.0,21.0,40.0,2.3,1,0,0,0,0
25.0,30.0,7.0,7.6,7.0,7.9,269.0,741.0,0.3,0.98,2.0,4.0,47.0,49.0,1.8,1,0,0,0,0
18.0,27.0,5.2,7.6,7.1,7.6,283.0,503.0,0.3,0.8,2.0,4.0,24.0,45.0,1.5,1,0,0,0,0
20.0,30.0,5.8,7.4,7.0,7.9,290.0,408.0,0.6,0.84,2.0,2.0,28.0,47.0,1.95,1,0,0,0,0
16.0,27.4,7.0,8.6,7.2,8.4,170.0,396.0,0.3,0.62,2.0,10.0,11.0,49.0,1.45,1,0,0,0,0
